uN:0,uN:1,uN:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
-2.67542e-07,-5.938e-06,-4.75319e-08,1,0.010755,0.015755,0,0.0075,239
-2.67117e-07,-5.93852e-06,-4.74744e-08,1,0.0108,0.0158,0,0.0075,240
-2.66692e-07,-5.93905e-06,-4.74169e-08,1,0.010845,0.015845,0,0.0075,241
-2.66268e-07,-5.93957e-06,-4.73595e-08,1,0.01089,0.01589,0,0.0075,242
-2.65843e-07,-5.9401e-06,-4.7302e-08,1,0.010935,0.015935,0,0.0075,243
-2.65418e-07,-5.94063e-06,-4.72445e-08,1,0.01098,0.01598,0,0.0075,244
-2.64994e-07,-5.94115e-06,-4.7187e-08,1,0.011025,0.016025,0,0.0075,245
-2.64569e-07,-5.94168e-06,-4.71296e-08,1,0.01107,0.01607,0,0.0075,246
-2.64144e-07,-5.9422e-06,-4.70721e-08,1,0.011115,0.016115,0,0.0075,247
-2.63719e-07,-5.94273e-06,-4.70146e-08,1,0.01116,0.01616,0,0.0075,248
-2.63295e-07,-5.94326e-06,-4.69571e-08,1,0.011205,0.016205,0,0.0075,249
-2.6287e-07,-5.94378e-06,-4.68997e-08,1,0.01125,0.01625,0,0.0075,250
-2.62445e-07,-5.94431e-06,-4.68422e-08,1,0.011295,0.016295,0,0.0075,251
-2.62021e-07,-5.94483e-06,-4.67847e-08,1,0.01134,0.01634,0,0.0075,252
-2.61596e-07,-5.94536e-06,-4.67272e-08,1,0.011385,0.016385,0,0.0075,253
-2.61171e-07,-5.94588e-06,-4.66698e-08,1,0.01143,0.01643,0,0.0075,254
-2.60781e-07,-5.94638e-06,-4.65467e-08,1,0.011475,0.016475,0,0.0075,255
-2.60392e-07,-5.94687e-06,-4.64207e-08,1,0.01152,0.01652,0,0.0075,256
-2.60003e-07,-5.94736e-06,-4.62947e-08,1,0.011565,0.016565,0,0.0075,257
-2.59614e-07,-5.94785e-06,-4.61687e-08,1,0.01161,0.01661,0,0.0075,258
-2.59225e-07,-5.94834e-06,-4.60427e-08,1,0.011655,0.016655,0,0.0075,259
-2.58836e-07,-5.94883e-06,-4.59167e-08,1,0.0117,0.0167,0,0.0075,260
-2.58447e-07,-5.94932e-06,-4.57907e-08,1,0.011745,0.016745,0,0.0075,261
-2.58058e-07,-5.94982e-06,-4.56647e-08,1,0.01179,0.01679,0,0.0075,262
-2.57669e-07,-5.95031e-06,-4.55387e-08,1,0.011835,0.016835,0,0.0075,263
-2.5728e-07,-5.9508e-06,-4.54127e-08,1,0.01188,0.01688,0,0.0075,264
-2.56891e-07,-5.95129e-06,-4.52867e-08,1,0.011925,0.016925,0,0.0075,265
-2.56502e-07,-5.95178e-06,-4.51607e-08,1,0.01197,0.01697,0,0.0075,266
-2.56113e-07,-5.95227e-06,-4.50347e-08,1,0.012015,0.017015,0,0.0075,267
-2.55724e-07,-5.95276e-06,-4.49087e-08,1,0.01206,0.01706,0,0.0075,268
-2.55335e-07,-5.95325e-06,-4.47827e-08,1,0.012105,0.017105,0,0.0075,269
-2.54947e-07,-5.95375e-06,-4.46567e-08,1,0.01215,0.01715,0,0.0075,270
-2.54558e-07,-5.95424e-06,-4.45307e-08,1,0.012195,0.017195,0,0.0075,271
-2.54169e-07,-5.95473e-06,-4.44047e-08,1,0.01224,0.01724,0,0.0075,272
-2.5378e-07,-5.95522e-06,-4.42787e-08,1,0.012285,0.017285,0,0.0075,273
-2.53391e-07,-5.95571e-06,-4.41527e-08,1,0.01233,0.01733,0,0.0075,274
-2.53002e-07,-5.9562e-06,-4.40267e-08,1,0.012375,0.017375,0,0.0075,275
-2.52613e-07,-5.95669e-06,-4.39007e-08,1,0.01242,0.01742,0,0.0075,276
-2.52224e-07,-5.95718e-06,-4.37747e-08,1,0.012465,0.017465,0,0.0075,277
-2.51835e-07,-5.95768e-06,-4.36487e-08,1,0.01251,0.01751,0,0.0075,278
-2.51446e-07,-5.95817e-06,-4.35227e-08,1,0.012555,0.017555,0,0.0075,279
-2.51057e-07,-5.95866e-06,-4.33967e-08,1,0.0126,0.0176,0,0.0075,280
-2.50668e-07,-5.95915e-06,-4.32707e-08,1,0.012645,0.017645,0,0.0075,281
-2.50279e-07,-5.95964e-06,-4.31447e-08,1,0.01269,0.01769,0,0.0075,282
-2.4989e-07,-5.96013e-06,-4.30187e-08,1,0.012735,0.017735,0,0.0075,283
-2.49501e-07,-5.96062e-06,-4.28927e-08,1,0.01278,0.01778,0,0.0075,284
