sigmaEq,uN:0,uN:1,uN:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
3.70363e+06,-2.83844e-07,-5.33654e-06,-4.8519e-08,1,0.008685,0,0.013685,0.0075,193
3.69573e+06,-2.82307e-07,-5.33623e-06,-4.84338e-08,1,0.00873,0,0.01373,0.0075,194
3.68784e+06,-2.80771e-07,-5.33591e-06,-4.83487e-08,1,0.008775,0,0.013775,0.0075,195
3.67995e+06,-2.79234e-07,-5.33559e-06,-4.82635e-08,1,0.00882,0,0.01382,0.0075,196
3.67205e+06,-2.77697e-07,-5.33527e-06,-4.81783e-08,1,0.008865,0,0.013865,0.0075,197
3.66416e+06,-2.76161e-07,-5.33495e-06,-4.80932e-08,1,0.00891,0,0.01391,0.0075,198
3.65626e+06,-2.74624e-07,-5.33464e-06,-4.8008e-08,1,0.008955,0,0.013955,0.0075,199
3.64837e+06,-2.73087e-07,-5.33432e-06,-4.79229e-08,1,0.009,0,0.014,0.0075,200
3.64048e+06,-2.71551e-07,-5.334e-06,-4.78377e-08,1,0.009045,0,0.014045,0.0075,201
3.63258e+06,-2.70014e-07,-5.33368e-06,-4.77526e-08,1,0.00909,0,0.01409,0.0075,202
3.62469e+06,-2.68477e-07,-5.33336e-06,-4.76674e-08,1,0.009135,0,0.014135,0.0075,203
3.61679e+06,-2.66941e-07,-5.33304e-06,-4.75823e-08,1,0.00918,0,0.01418,0.0075,204
3.6089e+06,-2.65404e-07,-5.33273e-06,-4.74971e-08,1,0.009225,0,0.014225,0.0075,205
3.601e+06,-2.63867e-07,-5.33241e-06,-4.74119e-08,1,0.00927,0,0.01427,0.0075,206
3.59311e+06,-2.62331e-07,-5.33209e-06,-4.73268e-08,1,0.009315,0,0.014315,0.0075,207
3.58522e+06,-2.60794e-07,-5.33177e-06,-4.72416e-08,1,0.00936,0,0.01436,0.0075,208
3.57732e+06,-2.59258e-07,-5.33145e-06,-4.71565e-08,1,0.009405,0,0.014405,0.0075,209
3.56943e+06,-2.57721e-07,-5.33114e-06,-4.70713e-08,1,0.00945,0,0.01445,0.0075,210
3.56153e+06,-2.56184e-07,-5.33082e-06,-4.69862e-08,1,0.009495,0,0.014495,0.0075,211
3.55364e+06,-2.54648e-07,-5.3305e-06,-4.6901e-08,1,0.00954,0,0.01454,0.0075,212
3.54575e+06,-2.53111e-07,-5.33018e-06,-4.68159e-08,1,0.009585,0,0.014585,0.0075,213
3.53785e+06,-2.51574e-07,-5.32986e-06,-4.67307e-08,1,0.00963,0,0.01463,0.0075,214
3.52996e+06,-2.50038e-07,-5.32954e-06,-4.66456e-08,1,0.009675,0,0.014675,0.0075,215
3.52206e+06,-2.48501e-07,-5.32923e-06,-4.65604e-08,1,0.00972,0,0.01472,0.0075,216
3.51417e+06,-2.46964e-07,-5.32891e-06,-4.64752e-08,1,0.009765,0,0.014765,0.0075,217
3.50628e+06,-2.45428e-07,-5.32859e-06,-4.63901e-08,1,0.00981,0,0.01481,0.0075,218
3.49838e+06,-2.43891e-07,-5.32827e-06,-4.63049e-08,1,0.009855,0,0.014855,0.0075,219
3.49049e+06,-2.42354e-07,-5.32795e-06,-4.62198e-08,1,0.0099,0,0.0149,0.0075,220
3.48259e+06,-2.40818e-07,-5.32763e-06,-4.61346e-08,1,0.009945,0,0.014945,0.0075,221
3.4747e+06,-2.39281e-07,-5.32732e-06,-4.60495e-08,1,0.00999,0,0.01499,0.0075,222
3.46681e+06,-2.37744e-07,-5.327e-06,-4.59643e-08,1,0.010035,0,0.015035,0.0075,223
3.45891e+06,-2.36208e-07,-5.32668e-06,-4.58792e-08,1,0.01008,0,0.01508,0.0075,224
3.45102e+06,-2.34671e-07,-5.32636e-06,-4.5794e-08,1,0.010125,0,0.015125,0.0075,225
3.44312e+06,-2.33134e-07,-5.32604e-06,-4.57088e-08,1,0.01017,0,0.01517,0.0075,226
3.43523e+06,-2.31598e-07,-5.32573e-06,-4.56237e-08,1,0.010215,0,0.015215,0.0075,227
3.42734e+06,-2.30061e-07,-5.32541e-06,-4.55385e-08,1,0.01026,0,0.01526,0.0075,228
3.41944e+06,-2.28524e-07,-5.32509e-06,-4.54534e-08,1,0.010305,0,0.015305,0.0075,229
3.41155e+06,-2.26988e-07,-5.32477e-06,-4.53682e-08,1,0.01035,0,0.01535,0.0075,230
3.40365e+06,-2.25451e-07,-5.32445e-06,-4.52831e-08,1,0.010395,0,0.015395,0.0075,231
3.39576e+06,-2.23914e-07,-5.32413e-06,-4.51979e-08,1,0.01044,0,0.01544,0.0075,232
3.38787e+06,-2.22378e-07,-5.32382e-06,-4.51128e-08,1,0.010485,0,0.015485,0.0075,233
3.37997e+06,-2.20841e-07,-5.3235e-06,-4.50276e-08,1,0.01053,0,0.01553,0.0075,234
3.37208e+06,-2.19305e-07,-5.32318e-06,-4.49424e-08,1,0.010575,0,0.015575,0.0075,235
3.36418e+06,-2.17768e-07,-5.32286e-06,-4.48573e-08,1,0.01062,0,0.01562,0.0075,236
3.35629e+06,-2.16231e-07,-5.32254e-06,-4.47721e-08,1,0.010665,0,0.015665,0.0075,237
3.34839e+06,-2.14695e-07,-5.32223e-06,-4.4687e-08,1,0.01071,0,0.01571,0.0075,238
3.3405e+06,-2.13158e-07,-5.32191e-06,-4.46018e-08,1,0.010755,0,0.015755,0.0075,239
3.33261e+06,-2.11621e-07,-5.32159e-06,-4.45167e-08,1,0.0108,0,0.0158,0.0075,240
3.32471e+06,-2.10085e-07,-5.32127e-06,-4.44315e-08,1,0.010845,0,0.015845,0.0075,241
3.31682e+06,-2.08548e-07,-5.32095e-06,-4.43464e-08,1,0.01089,0,0.01589,0.0075,242
3.30892e+06,-2.07011e-07,-5.32063e-06,-4.42612e-08,1,0.010935,0,0.015935,0.0075,243
